Java,Clean_Java
public V setValue(V value) {if (!allowModify)throw new UnsupportedOperationException();V old = values[lastPos];values[lastPos] = value;return old;},public V setValueV value if allowModifythrow new UnsupportedOperationExceptionV old  valueslastPosvalueslastPos  valuereturn old
"public String toString() {StringBuilder buffer = new StringBuilder();buffer.append(""[FtPioGrbit ]\n"");buffer.append(""  size     = "").append(length).append(""\n"");buffer.append(""  flags    = "").append(HexDump.toHex(flags)).append(""\n"");buffer.append(""[/FtPioGrbit ]\n"");return buffer.toString();}",public String toString StringBuilder buffer  new StringBuilderbufferappendFtPioGrbit nbufferappend  size      appendlengthappendnbufferappend  flags     appendHexDumptoHexflagsappendnbufferappendFtPioGrbit nreturn buffertoString
"static public double ipmt(double r, int per, int nper, double pv, double fv, int type) {double ipmt = fv(r, per - 1, pmt(r, nper, pv, fv, type), pv, type) * r;if (type==1) ipmt /= (1 + r);return ipmt;}",static public double ipmtdouble r int per int nper double pv double fv int type double ipmt  fvr per  1 pmtr nper pv fv type pv type  rif type1 ipmt  1  rreturn ipmt
"public FileDictionary(InputStream dictFile, String fieldDelimiter) {in = new BufferedReader(IOUtils.getDecodingReader(dictFile, StandardCharsets.UTF_8));this.fieldDelimiter = fieldDelimiter;}",public FileDictionaryInputStream dictFile String fieldDelimiter in  new BufferedReaderIOUtilsgetDecodingReaderdictFile StandardCharsetsUTF8thisfieldDelimiter  fieldDelimiter
"public DocumentSummaryInformation(final PropertySet ps)throws UnexpectedPropertySetTypeException {super(ps);if (!isDocumentSummaryInformation()) {throw new UnexpectedPropertySetTypeException(""Not a "" + getClass().getName());}}",public DocumentSummaryInformationfinal PropertySet psthrows UnexpectedPropertySetTypeException superpsif isDocumentSummaryInformation throw new UnexpectedPropertySetTypeExceptionNot a   getClassgetName
public EscherBSERecord getBSERecord(int pictureIndex) {return escherBSERecords.get(pictureIndex-1);},public EscherBSERecord getBSERecordint pictureIndex return escherBSERecordsgetpictureIndex1
public CreateDetectorVersionResult createDetectorVersion(CreateDetectorVersionRequest request) {request = beforeClientExecution(request);return executeCreateDetectorVersion(request);},public CreateDetectorVersionResult createDetectorVersionCreateDetectorVersionRequest request request  beforeClientExecutionrequestreturn executeCreateDetectorVersionrequest
"public static DVConstraint createExplicitListConstraint(String[] explicitListValues) {return new DVConstraint(null, explicitListValues);}",public static DVConstraint createExplicitListConstraintString explicitListValues return new DVConstraintnull explicitListValues
public ListGroupsResult listGroups(ListGroupsRequest request) {request = beforeClientExecution(request);return executeListGroups(request);},public ListGroupsResult listGroupsListGroupsRequest request request  beforeClientExecutionrequestreturn executeListGroupsrequest
public DeleteScriptResult deleteScript(DeleteScriptRequest request) {request = beforeClientExecution(request);return executeDeleteScript(request);},public DeleteScriptResult deleteScriptDeleteScriptRequest request request  beforeClientExecutionrequestreturn executeDeleteScriptrequest
public DescribeSpotDatafeedSubscriptionResult describeSpotDatafeedSubscription(DescribeSpotDatafeedSubscriptionRequest request) {request = beforeClientExecution(request);return executeDescribeSpotDatafeedSubscription(request);},public DescribeSpotDatafeedSubscriptionResult describeSpotDatafeedSubscriptionDescribeSpotDatafeedSubscriptionRequest request request  beforeClientExecutionrequestreturn executeDescribeSpotDatafeedSubscriptionrequest
public CharArrayReader(char[] buf) {this.buf = buf;this.count = buf.length;},public CharArrayReaderchar buf thisbuf  bufthiscount  buflength
"public CharSequence subSequence(int start, int end) {return substring(start, end);}",public CharSequence subSequenceint start int end return substringstart end
public Builder(boolean dedup) {this.dedup = dedup;},public Builderboolean dedup thisdedup  dedup
"public synchronized void setPerfObject(String key, Object obj) {perfObjects.put(key, obj);}",public synchronized void setPerfObjectString key Object obj perfObjectsputkey obj
"public String toString(){StringBuilder buffer = new StringBuilder();buffer.append(""[DIMENSIONS]\n"");buffer.append(""    .firstrow       = "").append(Integer.toHexString(getFirstRow())).append(""\n"");buffer.append(""    .lastrow        = "").append(Integer.toHexString(getLastRow())).append(""\n"");buffer.append(""    .firstcol       = "").append(Integer.toHexString(getFirstCol())).append(""\n"");buffer.append(""    .lastcol        = "").append(Integer.toHexString(getLastCol())).append(""\n"");buffer.append(""    .zero           = "").append(Integer.toHexString(field_5_zero)).append(""\n"");buffer.append(""[/DIMENSIONS]\n"");return buffer.toString();}",public String toStringStringBuilder buffer  new StringBuilderbufferappendDIMENSIONSnbufferappend    firstrow        appendIntegertoHexStringgetFirstRowappendnbufferappend    lastrow         appendIntegertoHexStringgetLastRowappendnbufferappend    firstcol        appendIntegertoHexStringgetFirstColappendnbufferappend    lastcol         appendIntegertoHexStringgetLastColappendnbufferappend    zero            appendIntegertoHexStringfield5zeroappendnbufferappendDIMENSIONSnreturn buffertoString
public ExitStandbyResult exitStandby(ExitStandbyRequest request) {request = beforeClientExecution(request);return executeExitStandby(request);},public ExitStandbyResult exitStandbyExitStandbyRequest request request  beforeClientExecutionrequestreturn executeExitStandbyrequest
"public String toString() {return ""MultiDocsAndPositionsEnum("" + Arrays.toString(getSubs()) + "")"";}",public String toString return MultiDocsAndPositionsEnum  ArraystoStringgetSubs  
"public MergeException(Throwable exc, Directory dir) {super(exc);this.dir = dir;}",public MergeExceptionThrowable exc Directory dir superexcthisdir  dir
"public int read(CharBuffer target) throws IOException {int remaining = remaining();if (target == this) {if (remaining == 0) {return -1;}throw new IllegalArgumentException();}if (remaining == 0) {return limit > 0 && target.remaining() == 0 ? 0 : -1;}remaining = Math.min(target.remaining(), remaining);if (remaining > 0) {char[] chars = new char[remaining];get(chars);target.put(chars);}return remaining;}",public int readCharBuffer target throws IOException int remaining  remainingif target  this if remaining  0 return 1throw new IllegalArgumentExceptionif remaining  0 return limit  0  targetremaining  0  0  1remaining  Mathmintargetremaining remainingif remaining  0 char chars  new charremaininggetcharstargetputcharsreturn remaining
public final float getFloat() {return Float.intBitsToFloat(getInt());},public final float getFloat return FloatintBitsToFloatgetInt
public UpdateApplicationRequest(String applicationName) {setApplicationName(applicationName);},public UpdateApplicationRequestString applicationName setApplicationNameapplicationName
"public void initReader(ByteSliceReader Reader, int termID, int stream) {assert stream < streamCount;int intStart = postingsArray.intStarts[termID];final int[] ints = intPool.buffers[intStart >> IntBlockPool.INT_BLOCK_SHIFT];final int upto = intStart & IntBlockPool.INT_BLOCK_MASK;Reader.init(bytePool,postingsArray.byteStarts[termID]+stream*ByteBlockPool.FIRST_LEVEL_SIZE,ints[upto+stream]);}",public void initReaderByteSliceReader Reader int termID int stream assert stream  streamCountint intStart  postingsArrayintStartstermIDfinal int ints  intPoolbuffersintStart  IntBlockPoolINTBLOCKSHIFTfinal int upto  intStart  IntBlockPoolINTBLOCKMASKReaderinitbytePoolpostingsArraybyteStartstermIDstreamByteBlockPoolFIRSTLEVELSIZEintsuptostream
public T next() {if (size <= index)throw new NoSuchElementException();T res = block[blkIdx];if (++blkIdx == BLOCK_SIZE) {if (++dirIdx < directory.length)block = directory[dirIdx];elseblock = null;blkIdx = 0;}index++;return res;},public T next if size  indexthrow new NoSuchElementExceptionT res  blockblkIdxif blkIdx  BLOCKSIZE if dirIdx  directorylengthblock  directorydirIdxelseblock  nullblkIdx  0indexreturn res
public DescribeOptionGroupOptionsResult describeOptionGroupOptions(DescribeOptionGroupOptionsRequest request) {request = beforeClientExecution(request);return executeDescribeOptionGroupOptions(request);},public DescribeOptionGroupOptionsResult describeOptionGroupOptionsDescribeOptionGroupOptionsRequest request request  beforeClientExecutionrequestreturn executeDescribeOptionGroupOptionsrequest
"public int alloc(int size) {int index = n;int len = array.length;if (n + size >= len) {byte[] aux = new byte[len + blockSize];System.arraycopy(array, 0, aux, 0, len);array = aux;}n += size;return index;}",public int allocint size int index  nint len  arraylengthif n  size  len byte aux  new bytelen  blockSizeSystemarraycopyarray 0 aux 0 lenarray  auxn  sizereturn index
public String getText() {StringBuilder text = new StringBuilder();for ( TermInfo ti: termsInfos ) {text.append( ti.getText() );}return text.toString();},public String getText StringBuilder text  new StringBuilderfor  TermInfo ti termsInfos  textappend tigetText return texttoString
public ReplaceableItem(String name) {setName(name);},public ReplaceableItemString name setNamename
public NamePtg(LittleEndianInput in)  {field_1_label_index = in.readUShort();field_2_zero = in.readShort();},public NamePtgLittleEndianInput in  field1labelindex  inreadUShortfield2zero  inreadShort
public int indexOf(Object object) {if (object != null) {for (int i = 0; i < a.length; i++) {if (object.equals(a[i])) {return i;}}} else {for (int i = 0; i < a.length; i++) {if (a[i] == null) {return i;}}}return -1;},public int indexOfObject object if object  null for int i  0 i  alength i if objectequalsai return i else for int i  0 i  alength i if ai  null return ireturn 1
public ListContactFlowsResult listContactFlows(ListContactFlowsRequest request) {request = beforeClientExecution(request);return executeListContactFlows(request);},public ListContactFlowsResult listContactFlowsListContactFlowsRequest request request  beforeClientExecutionrequestreturn executeListContactFlowsrequest
"public int doLogic() throws IOException {String analyzerName = null;try {if (current >= analyzerNames.size()) {current = 0;}analyzerName = analyzerNames.get(current++);Analyzer analyzer = null;if (null == analyzerName || 0 == analyzerName.length()) {analyzerName = ""org.apache.lucene.analysis.standard.StandardAnalyzer"";}AnalyzerFactory factory = getRunData().getAnalyzerFactories().get(analyzerName);if (null != factory) {analyzer = factory.create();} else {if (analyzerName.contains(""."")) {if (analyzerName.startsWith(""standard."")) {analyzerName = ""org.apache.lucene.analysis."" + analyzerName;}analyzer = createAnalyzer(analyzerName);} else { try {String coreClassName = ""org.apache.lucene.analysis.core."" + analyzerName;analyzer = createAnalyzer(coreClassName);analyzerName = coreClassName;} catch (ClassNotFoundException e) {analyzerName = ""org.apache.lucene.analysis."" + analyzerName;analyzer = createAnalyzer(analyzerName);}}}getRunData().setAnalyzer(analyzer);} catch (Exception e) {throw new RuntimeException(""Error creating Analyzer: "" + analyzerName, e);}return 1;}",public int doLogic throws IOException String analyzerName  nulltry if current  analyzerNamessize current  0analyzerName  analyzerNamesgetcurrentAnalyzer analyzer  nullif null  analyzerName  0  analyzerNamelength analyzerName  orgapacheluceneanalysisstandardStandardAnalyzerAnalyzerFactory factory  getRunDatagetAnalyzerFactoriesgetanalyzerNameif null  factory analyzer  factorycreate else if analyzerNamecontains if analyzerNamestartsWithstandard analyzerName  orgapacheluceneanalysis  analyzerNameanalyzer  createAnalyzeranalyzerName else  try String coreClassName  orgapacheluceneanalysiscore  analyzerNameanalyzer  createAnalyzercoreClassNameanalyzerName  coreClassName catch ClassNotFoundException e analyzerName  orgapacheluceneanalysis  analyzerNameanalyzer  createAnalyzeranalyzerNamegetRunDatasetAnalyzeranalyzer catch Exception e throw new RuntimeExceptionError creating Analyzer   analyzerName ereturn 1
"public int serializeSimplePart( byte[] data, int offset ){LittleEndian.putShort(data, offset, getId());LittleEndian.putInt(data, offset + 2, propertyValue);return 6;}",public int serializeSimplePart byte data int offset LittleEndianputShortdata offset getIdLittleEndianputIntdata offset  2 propertyValuereturn 6
"public static short[] copyOf(short[] original, int newLength) {if (newLength < 0) {throw new NegativeArraySizeException();}return copyOfRange(original, 0, newLength);}",public static short copyOfshort original int newLength if newLength  0 throw new NegativeArraySizeExceptionreturn copyOfRangeoriginal 0 newLength
@Override public Iterator<V> iterator() {return new ValueIterator();},Override public IteratorV iterator return new ValueIterator
public boolean equals(Object obj) {if (this == obj) {return true;}if (!super.equals(obj)) {return false;}PrefixQuery other = (PrefixQuery) obj;if (!term.equals(other.term)) {return false;}return true;},public boolean equalsObject obj if this  obj return trueif superequalsobj return falsePrefixQuery other  PrefixQuery objif termequalsotherterm return falsereturn true
public boolean isSheetVeryHidden(int sheetnum) {return getBoundSheetRec(sheetnum).isVeryHidden();},public boolean isSheetVeryHiddenint sheetnum return getBoundSheetRecsheetnumisVeryHidden
"public UpdateAccessKeyRequest(String accessKeyId, StatusType status) {setAccessKeyId(accessKeyId);setStatus(status.toString());}",public UpdateAccessKeyRequestString accessKeyId StatusType status setAccessKeyIdaccessKeyIdsetStatusstatustoString
"public static int countMatchingCellsInArea(ThreeDEval areaEval, I_MatchPredicate criteriaPredicate) {int result = 0;final int firstSheetIndex = areaEval.getFirstSheetIndex();final int lastSheetIndex = areaEval.getLastSheetIndex();for (int sIx = firstSheetIndex; sIx <= lastSheetIndex; sIx++) {int height = areaEval.getHeight();int width = areaEval.getWidth();for (int rrIx=0; rrIx<height; rrIx++) {for (int rcIx=0; rcIx<width; rcIx++) {ValueEval ve = areaEval.getValue(sIx, rrIx, rcIx);if(criteriaPredicate instanceof I_MatchAreaPredicate){I_MatchAreaPredicate areaPredicate = (I_MatchAreaPredicate)criteriaPredicate;if(!areaPredicate.matches(areaEval, rrIx, rcIx)) continue;}if(criteriaPredicate.matches(ve)) {result++;}}}}return result;}",public static int countMatchingCellsInAreaThreeDEval areaEval IMatchPredicate criteriaPredicate int result  0final int firstSheetIndex  areaEvalgetFirstSheetIndexfinal int lastSheetIndex  areaEvalgetLastSheetIndexfor int sIx  firstSheetIndex sIx  lastSheetIndex sIx int height  areaEvalgetHeightint width  areaEvalgetWidthfor int rrIx0 rrIxheight rrIx for int rcIx0 rcIxwidth rcIx ValueEval ve  areaEvalgetValuesIx rrIx rcIxifcriteriaPredicate instanceof IMatchAreaPredicateIMatchAreaPredicate areaPredicate  IMatchAreaPredicatecriteriaPredicateifareaPredicatematchesareaEval rrIx rcIx continueifcriteriaPredicatematchesve resultreturn result
public PushCommand setRefSpecs(List<RefSpec> specs) {checkCallable();this.refSpecs.clear();this.refSpecs.addAll(specs);return this;},public PushCommand setRefSpecsListRefSpec specs checkCallablethisrefSpecsclearthisrefSpecsaddAllspecsreturn this
"public EscherComplexProperty(short id, int complexSize) {super((short)(id | IS_COMPLEX));complexData = IOUtils.safelyAllocate(complexSize, MAX_RECORD_LENGTH);}",public EscherComplexPropertyshort id int complexSize supershortid  ISCOMPLEXcomplexData  IOUtilssafelyAllocatecomplexSize MAXRECORDLENGTH
public CreateNodeResult createNode(CreateNodeRequest request) {request = beforeClientExecution(request);return executeCreateNode(request);},public CreateNodeResult createNodeCreateNodeRequest request request  beforeClientExecutionrequestreturn executeCreateNoderequest
"public Note call() throws GitAPIException {checkCallable();NoteMap map = NoteMap.newEmptyMap();RevCommit notesCommit = null;try (RevWalk walk = new RevWalk(repo)) {Ref ref = repo.exactRef(notesRef);if (ref != null) {notesCommit = walk.parseCommit(ref.getObjectId());map = NoteMap.read(walk.getObjectReader(), notesCommit);}return map.getNote(id);} catch (IOException e) {throw new JGitInternalException(e.getMessage(), e);}}",public Note call throws GitAPIException checkCallableNoteMap map  NoteMapnewEmptyMapRevCommit notesCommit  nulltry RevWalk walk  new RevWalkrepo Ref ref  repoexactRefnotesRefif ref  null notesCommit  walkparseCommitrefgetObjectIdmap  NoteMapreadwalkgetObjectReader notesCommitreturn mapgetNoteid catch IOException e throw new JGitInternalExceptionegetMessage e
public void ReInit(CharStream stream){jjmatchedPos = jjnewStateCnt = 0;curLexState = defaultLexState;input_stream = stream;ReInitRounds();},public void ReInitCharStream streamjjmatchedPos  jjnewStateCnt  0curLexState  defaultLexStateinputstream  streamReInitRounds
"public boolean add(char[] text) {return map.put(text, PLACEHOLDER) == null;}",public boolean addchar text return mapputtext PLACEHOLDER  null
public void setDeltaBaseCacheLimit(int newLimit) {deltaBaseCacheLimit = newLimit;},public void setDeltaBaseCacheLimitint newLimit deltaBaseCacheLimit  newLimit
"public ServerException(String errCode, String errMsg, String requestId) {this(errCode, errMsg);this.setRequestId(requestId);}",public ServerExceptionString errCode String errMsg String requestId thiserrCode errMsgthissetRequestIdrequestId
"final public SrndQuery NQuery() throws ParseException {SrndQuery q;ArrayList<SrndQuery> queries;Token dt;q = WQuery();label_5:while (true) {switch ((jj_ntk==-1)?jj_ntk():jj_ntk) {case N:;break;default:jj_la1[3] = jj_gen;break label_5;}dt = jj_consume_token(N);queries = new ArrayList<SrndQuery>();queries.add(q); q = WQuery();queries.add(q);q = getDistanceQuery(queries, true , dt, false );}{if (true) return q;}throw new Error(""Missing return statement in function"");}",final public SrndQuery NQuery throws ParseException SrndQuery qArrayListSrndQuery queriesToken dtq  WQuerylabel5while true switch jjntk1jjntkjjntk case Nbreakdefaultjjla13  jjgenbreak label5dt  jjconsumetokenNqueries  new ArrayListSrndQueryqueriesaddq q  WQueryqueriesaddqq  getDistanceQueryqueries true  dt false if true return qthrow new ErrorMissing return statement in function
"public MoreLikeThisQuery(String likeText, String[] moreLikeFields, Analyzer analyzer, String fieldName) {this.likeText = Objects.requireNonNull(likeText);this.moreLikeFields = Objects.requireNonNull(moreLikeFields);this.analyzer = Objects.requireNonNull(analyzer);this.fieldName = Objects.requireNonNull(fieldName);}",public MoreLikeThisQueryString likeText String moreLikeFields Analyzer analyzer String fieldName thislikeText  ObjectsrequireNonNulllikeTextthismoreLikeFields  ObjectsrequireNonNullmoreLikeFieldsthisanalyzer  ObjectsrequireNonNullanalyzerthisfieldName  ObjectsrequireNonNullfieldName
public DescribeImageAttributeResult describeImageAttribute(DescribeImageAttributeRequest request) {request = beforeClientExecution(request);return executeDescribeImageAttribute(request);},public DescribeImageAttributeResult describeImageAttributeDescribeImageAttributeRequest request request  beforeClientExecutionrequestreturn executeDescribeImageAttributerequest
public void println(Object o) {println(String.valueOf(o));},public void printlnObject o printlnStringvalueOfo
public DeregisterFromWorkMailResult deregisterFromWorkMail(DeregisterFromWorkMailRequest request) {request = beforeClientExecution(request);return executeDeregisterFromWorkMail(request);},public DeregisterFromWorkMailResult deregisterFromWorkMailDeregisterFromWorkMailRequest request request  beforeClientExecutionrequestreturn executeDeregisterFromWorkMailrequest
public PutClusterCapacityProvidersResult putClusterCapacityProviders(PutClusterCapacityProvidersRequest request) {request = beforeClientExecution(request);return executePutClusterCapacityProviders(request);},public PutClusterCapacityProvidersResult putClusterCapacityProvidersPutClusterCapacityProvidersRequest request request  beforeClientExecutionrequestreturn executePutClusterCapacityProvidersrequest
"public ChangeMessageVisibilityBatchRequestEntry(String id, String receiptHandle) {setId(id);setReceiptHandle(receiptHandle);}",public ChangeMessageVisibilityBatchRequestEntryString id String receiptHandle setIdidsetReceiptHandlereceiptHandle
"public StringBuffer append(float f) {RealToString.getInstance().appendFloat(this, f);return this;}",public StringBuffer appendfloat f RealToStringgetInstanceappendFloatthis freturn this
"@Override public int compare(T o1, T o2) {return cmp.compare(o2, o1);}",Override public int compareT o1 T o2 return cmpcompareo2 o1
"public GetAttributesRequest(String domainName, String itemName) {setDomainName(domainName);setItemName(itemName);}",public GetAttributesRequestString domainName String itemName setDomainNamedomainNamesetItemNameitemName
"public String toString() {return getClass().getName() +"" ["" +_firstMovedIndex +_lastMovedIndex +_amountToMove +""]"";}",public String toString return getClassgetName   firstMovedIndex lastMovedIndex amountToMove 
"public final ValueEval evaluate(ValueEval[] args, int srcCellRow, int srcCellCol) {double result;try {result = eval(args, srcCellRow, srcCellCol);checkValue(result);} catch (EvaluationException e) {return e.getErrorEval();}return new NumberEval(result);}",public final ValueEval evaluateValueEval args int srcCellRow int srcCellCol double resulttry result  evalargs srcCellRow srcCellColcheckValueresult catch EvaluationException e return egetErrorEvalreturn new NumberEvalresult
public DescribeFpgaImagesResult describeFpgaImages(DescribeFpgaImagesRequest request) {request = beforeClientExecution(request);return executeDescribeFpgaImages(request);},public DescribeFpgaImagesResult describeFpgaImagesDescribeFpgaImagesRequest request request  beforeClientExecutionrequestreturn executeDescribeFpgaImagesrequest
"public ObjectDirectoryInserter newInserter() {return new ObjectDirectoryInserter(this, config);}",public ObjectDirectoryInserter newInserter return new ObjectDirectoryInserterthis config
"public LongBuffer put(int index, long c) {checkIndex(index);byteBuffer.putLong(index * SizeOf.LONG, c);return this;}",public LongBuffer putint index long c checkIndexindexbyteBufferputLongindex  SizeOfLONG creturn this
public boolean isRetainBody() {return retainBody;},public boolean isRetainBody return retainBody
public AddApplicationVpcConfigurationResult addApplicationVpcConfiguration(AddApplicationVpcConfigurationRequest request) {request = beforeClientExecution(request);return executeAddApplicationVpcConfiguration(request);},public AddApplicationVpcConfigurationResult addApplicationVpcConfigurationAddApplicationVpcConfigurationRequest request request  beforeClientExecutionrequestreturn executeAddApplicationVpcConfigurationrequest
"public Entry<K, V> next() { return nextEntry(); }",public EntryK V next  return nextEntry 
public SpreadsheetVersion getSpreadsheetVersion(){return SpreadsheetVersion.EXCEL97;},public SpreadsheetVersion getSpreadsheetVersionreturn SpreadsheetVersionEXCEL97
"public String[] promptKeyboardInteractive(String destination, String name,String instruction, String[] prompt, boolean[] echo) {CredentialItem.StringType[] v = new CredentialItem.StringType[prompt.length];for (int i = 0; i < prompt.length; i++)v[i] = new CredentialItem.StringType(prompt[i], !echo[i]);List<CredentialItem> items = new ArrayList<>();if (instruction != null && instruction.length() > 0)items.add(new CredentialItem.InformationalMessage(instruction));items.addAll(Arrays.asList(v));if (!provider.get(uri, items))return null; String[] result = new String[v.length];for (int i = 0; i < v.length; i++)result[i] = v[i].getValue();return result;}",public String promptKeyboardInteractiveString destination String nameString instruction String prompt boolean echo CredentialItemStringType v  new CredentialItemStringTypepromptlengthfor int i  0 i  promptlength ivi  new CredentialItemStringTypeprompti echoiListCredentialItem items  new ArrayListif instruction  null  instructionlength  0itemsaddnew CredentialItemInformationalMessageinstructionitemsaddAllArraysasListvif providergeturi itemsreturn null String result  new Stringvlengthfor int i  0 i  vlength iresulti  vigetValuereturn result
public static synchronized MergeStrategy get(String name) {return STRATEGIES.get(name);},public static synchronized MergeStrategy getString name return STRATEGIESgetname
public AssociateConnectionWithLagResult associateConnectionWithLag(AssociateConnectionWithLagRequest request) {request = beforeClientExecution(request);return executeAssociateConnectionWithLag(request);},public AssociateConnectionWithLagResult associateConnectionWithLagAssociateConnectionWithLagRequest request request  beforeClientExecutionrequestreturn executeAssociateConnectionWithLagrequest
public short getShortValue(final short holder){return ( short ) getValue(holder);},public short getShortValuefinal short holderreturn  short  getValueholder
public static BreakIterator getSentenceInstance() {return getSentenceInstance(Locale.getDefault());},public static BreakIterator getSentenceInstance return getSentenceInstanceLocalegetDefault
"public MissingObjectException(ObjectId id, String type) {super(MessageFormat.format(JGitText.get().missingObject, type, id.name()));missing = id.copy();}",public MissingObjectExceptionObjectId id String type superMessageFormatformatJGitTextgetmissingObject type idnamemissing  idcopy
"public PipedReader(PipedWriter out, int pipeSize) throws IOException {this(pipeSize);connect(out);}",public PipedReaderPipedWriter out int pipeSize throws IOException thispipeSizeconnectout
"public ImportKeyPairRequest(String keyName, String publicKeyMaterial) {setKeyName(keyName);setPublicKeyMaterial(publicKeyMaterial);}",public ImportKeyPairRequestString keyName String publicKeyMaterial setKeyNamekeyNamesetPublicKeyMaterialpublicKeyMaterial
"public DeleteFaceRequest() {super(""LinkFace"", ""2018-07-20"", ""DeleteFace"");setProtocol(ProtocolType.HTTPS);setMethod(MethodType.POST);}",public DeleteFaceRequest superLinkFace 20180720 DeleteFacesetProtocolProtocolTypeHTTPSsetMethodMethodTypePOST
public CreateReceiptRuleSetResult createReceiptRuleSet(CreateReceiptRuleSetRequest request) {request = beforeClientExecution(request);return executeCreateReceiptRuleSet(request);},public CreateReceiptRuleSetResult createReceiptRuleSetCreateReceiptRuleSetRequest request request  beforeClientExecutionrequestreturn executeCreateReceiptRuleSetrequest
"public RemovePermissionRequest(String queueUrl, String label) {setQueueUrl(queueUrl);setLabel(label);}",public RemovePermissionRequestString queueUrl String label setQueueUrlqueueUrlsetLabellabel
"public String toString() {return ""DFR "" + basicModel.toString() + afterEffect.toString()+ normalization.toString();}",public String toString return DFR   basicModeltoString  afterEffecttoString normalizationtoString
"public void setResult(RefUpdate.Result r) {switch (r) {case NOT_ATTEMPTED:setResult(Result.NOT_ATTEMPTED);break;case LOCK_FAILURE:case IO_FAILURE:setResult(Result.LOCK_FAILURE);break;case NO_CHANGE:case NEW:case FORCED:case FAST_FORWARD:setResult(Result.OK);break;case REJECTED:setResult(Result.REJECTED_NONFASTFORWARD);break;case REJECTED_CURRENT_BRANCH:setResult(Result.REJECTED_CURRENT_BRANCH);break;case REJECTED_MISSING_OBJECT:setResult(Result.REJECTED_MISSING_OBJECT);break;case REJECTED_OTHER_REASON:setResult(Result.REJECTED_OTHER_REASON);break;default:setResult(Result.REJECTED_OTHER_REASON, r.name());break;}}",public void setResultRefUpdateResult r switch r case NOTATTEMPTEDsetResultResultNOTATTEMPTEDbreakcase LOCKFAILUREcase IOFAILUREsetResultResultLOCKFAILUREbreakcase NOCHANGEcase NEWcase FORCEDcase FASTFORWARDsetResultResultOKbreakcase REJECTEDsetResultResultREJECTEDNONFASTFORWARDbreakcase REJECTEDCURRENTBRANCHsetResultResultREJECTEDCURRENTBRANCHbreakcase REJECTEDMISSINGOBJECTsetResultResultREJECTEDMISSINGOBJECTbreakcase REJECTEDOTHERREASONsetResultResultREJECTEDOTHERREASONbreakdefaultsetResultResultREJECTEDOTHERREASON rnamebreak
public DeleteMatchmakingConfigurationResult deleteMatchmakingConfiguration(DeleteMatchmakingConfigurationRequest request) {request = beforeClientExecution(request);return executeDeleteMatchmakingConfiguration(request);},public DeleteMatchmakingConfigurationResult deleteMatchmakingConfigurationDeleteMatchmakingConfigurationRequest request request  beforeClientExecutionrequestreturn executeDeleteMatchmakingConfigurationrequest
"public double resolveDistErr(SpatialContext ctx, double defaultDistErrPct) {if (distErr != null)return distErr;double distErrPct = (this.distErrPct != null ? this.distErrPct : defaultDistErrPct);return calcDistanceFromErrPct(shape, distErrPct, ctx);}",public double resolveDistErrSpatialContext ctx double defaultDistErrPct if distErr  nullreturn distErrdouble distErrPct  thisdistErrPct  null  thisdistErrPct  defaultDistErrPctreturn calcDistanceFromErrPctshape distErrPct ctx
"public final CharsetEncoder replaceWith(byte[] replacement) {if (replacement == null) {throw new IllegalArgumentException(""replacement == null"");}if (replacement.length == 0) {throw new IllegalArgumentException(""replacement.length == 0"");}if (replacement.length > maxBytesPerChar()) {throw new IllegalArgumentException(""replacement length > maxBytesPerChar: "" +replacement.length + "" > "" + maxBytesPerChar());}if (!isLegalReplacement(replacement)) {throw new IllegalArgumentException(""bad replacement: "" + Arrays.toString(replacement));}this.replacementBytes = replacement;implReplaceWith(replacementBytes);return this;}",public final CharsetEncoder replaceWithbyte replacement if replacement  null throw new IllegalArgumentExceptionreplacement  nullif replacementlength  0 throw new IllegalArgumentExceptionreplacementlength  0if replacementlength  maxBytesPerChar throw new IllegalArgumentExceptionreplacement length  maxBytesPerChar  replacementlength      maxBytesPerCharif isLegalReplacementreplacement throw new IllegalArgumentExceptionbad replacement   ArraystoStringreplacementthisreplacementBytes  replacementimplReplaceWithreplacementBytesreturn this
public CreateApplicationSnapshotResult createApplicationSnapshot(CreateApplicationSnapshotRequest request) {request = beforeClientExecution(request);return executeCreateApplicationSnapshot(request);},public CreateApplicationSnapshotResult createApplicationSnapshotCreateApplicationSnapshotRequest request request  beforeClientExecutionrequestreturn executeCreateApplicationSnapshotrequest
"public ValueEval evaluate(int srcCellRow, int srcCellCol, ValueEval arg0) {double d;try {ValueEval ve = OperandResolver.getSingleValue(arg0, srcCellRow, srcCellCol);if(ve instanceof StringEval) {return ve;}d = OperandResolver.coerceValueToDouble(ve);} catch (EvaluationException e) {return e.getErrorEval();}return new NumberEval(+d);}",public ValueEval evaluateint srcCellRow int srcCellCol ValueEval arg0 double dtry ValueEval ve  OperandResolvergetSingleValuearg0 srcCellRow srcCellColifve instanceof StringEval return ved  OperandResolvercoerceValueToDoubleve catch EvaluationException e return egetErrorEvalreturn new NumberEvald
"public MoPenBindIsvRequest() {super(""MoPen"", ""2018-02-11"", ""MoPenBindIsv"", ""mopen"");setProtocol(ProtocolType.HTTPS);setMethod(MethodType.POST);}",public MoPenBindIsvRequest superMoPen 20180211 MoPenBindIsv mopensetProtocolProtocolTypeHTTPSsetMethodMethodTypePOST
